"folio","fpago","almacen","fechatt","cliente","importe","serie","hora","agente","sucursal","id"
"412,811","C","36","2023-01-03","MOSTRADOR","72","TAF","13:03:24","700","ALFIN","278561"
"343,483","C","04","2023-01-03","MOSTRADOR","19","TPL","13:12:22","538","PVERD","278562"
"534,249","C","03","2023-01-02","MOSTRADOR","16","TME","16:35:43","719","ME","278563"
"567,208","C","05","2023-01-03","MOSTRADOR","6","TT1","12:58:37","211","TZ","278564"
"26,406","C","24","2023-01-02","MOSTRADOR","39","TZM","16:37:34","764","TMZ","278565"
"201,610","C","29","2023-01-03","MOSTRADOR","24","TGZ","13:00:25","524","GZAMO","278566"
"567,022","C","05","2023-01-02","MOSTRADOR","54","TT1","16:46:10","45","TZ","278567"
"32,222","C","12","2023-01-03","MOSTRADOR","85","TXA","13:06:48","55","XALAP","278568"
"412,749","T","36","2023-01-02","MOSTRADOR","203","TAF","17:05:54","729","ALFIN","278569"
"68,107","C","35","2023-01-02","MOSTRADOR","80","TPP","16:41:27","758","PAPA2","278570"
"100,066","C","31","2023-01-02","MOSTRADOR","81","TR2","16:32:26","684","VEPR2","278571"
"567,212","C","05","2023-01-03","MOSTRADOR","565","TT1","13:10:39","211","TZ","278572"
"250,649","C","20","2023-01-11","MOSTRADOR","63","TPZ","08:13:06","587","PR","278573"
"3,872","R","24","2023-01-12","VIVEROS VALDEZ","11","3ZM","18:53:58","638","TMZ","278574"
"574,741","C","17","2023-01-02","MOSTRADOR","41","TMS","16:36:51","693","MISAN","278575"
"337,475","C","25","2023-01-02","MOSTRADOR","20","TPA","16:36:27","508","PAPAN","278576"
"567,026","K","05","2023-01-02","MOSTRADOR","995","TT1","16:53:47","211","TZ","278577"
"567,017","C","05","2023-01-02","MOSTRADOR","18","TT1","16:37:10","45","TZ","278578"
"28,342","C","24","2023-01-11","MOSTRADOR","360","TZM","18:54:35","16","TMZ","278579"
"13,930","C","28","2023-01-03","JIMMY GOMEZ OLIVARES","285","3CZ","13:03:19","625","COAT","278580"
"534,250","C","03","2023-01-02","MOSTRADOR","150","TME","16:38:05","14","ME","278581"
"567,209","C","05","2023-01-03","MOSTRADOR","61","TT1","13:01:44","3","TZ","278582"
"201,517","C","29","2023-01-02","MOSTRADOR","34","TGZ","16:44:43","783","GZAMO","278583"
"68,185","C","35","2023-01-03","MOSTRADOR","636","TPP","13:02:01","736","PAPA2","278584"
"25,295","C","31","2023-01-02","COMERCIALIZADORA FARMACEUTICA DE CHIAPAS","81","3R2","16:38:42","684","VEPR2","278585"
"343,380","C","04","2023-01-02","MOSTRADOR","70","TPL","16:39:35","94","PVERD","278586"
"574,742","C","17","2023-01-02","MOSTRADOR","176","TMS","16:42:41","161","MISAN","278587"
"604,856","C","08","2023-01-02","MOSTRADOR","177","TT2","16:39:23","769","RP","278588"
"343,381","C","04","2023-01-02","MOSTRADOR","47","TPL","16:39:50","782","PVERD","278589"
"567,020","C","05","2023-01-02","MOSTRADOR","46","TT1","16:44:01","45","TZ","278590"
"337,477","C","25","2023-01-02","MOSTRADOR","24","TPA","16:52:53","777","PAPAN","278591"
"27,868","C","26","2023-01-02","MOSTRADOR","0","TTI","16:42:18","675","TIHUA","278592"
"491,449","C","19","2023-01-03","MOSTRADOR","529","TID","13:06:22","579","INDE","278593"
"534,404","C","03","2023-01-03","MOSTRADOR","12","TME","13:01:58","719","ME","278594"
"491,302","C","19","2023-01-02","MOSTRADOR","23","TID","16:40:12","511","INDE","278595"
"8,146","C","14","2023-01-02","MOSTRADOR","69","TT4","16:44:45","377","TEZIU","278596"
"605,061","C","08","2023-01-03","MOSTRADOR","133","TT2","13:13:51","372","RP","278597"
"605,053","C","08","2023-01-03","MOSTRADOR","15","TT2","13:01:00","423","RP","278598"
"201,613","C","29","2023-01-03","MOSTRADOR","344","TGZ","13:05:05","520","GZAMO","278599"
"26,544","C","24","2023-01-03","MOSTRADOR","19","TZM","13:01:10","288","TMZ","278600"
"100,068","C","31","2023-01-02","MOSTRADOR","103","TR2","16:43:47","684","VEPR2","278601"
"394,739","C","06","2023-01-02","MOSTRADOR","565","TTP","16:39:56","774","TL","278602"
"3,615","C","24","2023-01-02","RJJ INGENIERIA Y SERVICIOS INTEGRALES","131","3ZM","16:40:07","638","TMZ","278603"
"534,251","C","03","2023-01-02","MOSTRADOR","0","TME","16:39:42","14","ME","278604"
"604,857","C","08","2023-01-02","MOSTRADOR","12","TT2","16:43:53","372","RP","278605"
"100,067","C","31","2023-01-02","MOSTRADOR","156","TR2","16:41:58","684","VEPR2","278606"
"289,032","C","21","2023-01-03","MOSTRADOR","26","TTX","13:02:44","725","TX","278607"
"534,254","C","03","2023-01-02","MOSTRADOR","402","TME","16:45:46","719","ME","278608"
"574,866","C","17","2023-01-03","MOSTRADOR","1","TMS","13:03:28","161","MISAN","278609"
"491,303","C","19","2023-01-02","MOSTRADOR","51","TID","16:40:17","579","INDE","278610"
"26,407","C","24","2023-01-02","MOSTRADOR","39","TZM","16:41:27","764","TMZ","278611"
"201,612","C","29","2023-01-03","MOSTRADOR","525","TGZ","13:03:14","771","GZAMO","278612"
"394,740","C","06","2023-01-02","MOSTRADOR","31","TTP","16:40:56","774","TL","278613"
"394,841","C","06","2023-01-03","MOSTRADOR","30","TTP","13:02:12","773","TL","278614"
"68,120","C","35","2023-01-02","MOSTRADOR","40","TPP","17:41:32","759","PAPA2","278615"
"491,304","C","19","2023-01-02","MOSTRADOR","91","TID","16:40:52","511","INDE","278616"
"567,019","C","05","2023-01-02","MOSTRADOR","45","TT1","16:43:15","640","TZ","278617"
"394,743","K","06","2023-01-02","MOSTRADOR","1","TTP","16:53:49","337","TL","278618"
"343,383","C","04","2023-01-02","MOSTRADOR","135","TPL","16:44:57","782","PVERD","278619"
"47,785","C","30","2023-01-03","MOSTRADOR","79","TVZ","13:19:32","691","VERAC","278620"
"604,859","C","08","2023-01-02","MOSTRADOR","19","TT2","16:49:27","769","RP","278621"
"47,768","C","30","2023-01-02","MOSTRADOR","2","TVZ","17:18:24","691","VERAC","278622"
"605,055","C","08","2023-01-03","MOSTRADOR","43","TT2","13:04:53","372","RP","278623"
"160,106","C","28","2023-01-02","MOSTRADOR","52","TCZ","16:43:52","322","COAT","278624"
"491,450","C","19","2023-01-03","MOSTRADOR","124","TID","13:06:51","511","INDE","278625"
"534,406","C","03","2023-01-03","MOSTRADOR","58","TME","13:03:23","743","ME","278626"
"62,928","C","17","2023-01-03","SURCURSAL MELCHOR OCAMPO (MATRIZ)","0","TAS","13:03:49","693","MISAN","278627"
"26,408","C","24","2023-01-02","MOSTRADOR","359","TZM","16:44:09","638","TMZ","278628"
"164,649","C","27","2023-01-02","MOSTRADOR","25","TT3","16:42:39","767","HIDAL","278629"
"27,869","C","26","2023-01-02","MOSTRADOR","20","TTI","16:43:14","675","TIHUA","278630"
"534,253","C","03","2023-01-02","MOSTRADOR","70","TME","16:44:48","719","ME","278631"
"27,885","C","26","2023-01-03","MOSTRADOR","132","TTI","13:07:48","166","TIHUA","278632"
"26,408","C","24","2023-01-02","MOSTRADOR","39","TZM","16:37:51","764","TMZ","278633"
"164,731","C","27","2023-01-03","MOSTRADOR","12","TT3","13:03:51","767","HIDAL","278634"
"394,845","C","06","2023-01-03","MOSTRADOR","25","TTP","13:17:17","18","TL","278635"
"68,186","C","35","2023-01-03","MOSTRADOR","66","TPP","13:10:46","758","PAPA2","278636"
"289,033","C","21","2023-01-03","MOSTRADOR","99","TTX","13:04:08","219","TX","278637"
"8,199","C","14","2023-01-03","MOSTRADOR","0","TT4","13:07:53","377","TEZIU","278638"
"394,741","C","06","2023-01-02","MOSTRADOR","5","TTP","16:43:19","18","TL","278639"
"26,410","C","24","2023-01-02","MOSTRADOR","15","TZM","16:47:34","16","TMZ","278640"
"130,827","C","24","2023-01-02","SUCURSAL AVILA CAMACHO","0","TS","16:44:38","781","297.","278641"
"604,861","C","08","2023-01-02","MOSTRADOR","307","TT2","16:51:20","3","RP","278642"
"574,743","C","17","2023-01-02","MOSTRADOR","46","TMS","16:43:31","161","MISAN","278643"
"567,020","C","05","2023-01-02","MOSTRADOR","19","TT1","16:42:36","640","TZ","278644"
"3,616","K","24","2023-01-02","JUAN AVILA DE JESUS","5","3ZM","16:50:17","764","TMZ","278645"
"604,858","C","08","2023-01-02","MOSTRADOR","73","TT2","16:48:29","372","RP","278646"
"201,518","C","29","2023-01-02","MOSTRADOR","51","TGZ","16:45:35","574","GZAMO","278647"
"68,110","C","35","2023-01-02","MOSTRADOR","186","TPP","16:52:20","758","PAPA2","278648"
"567,021","C","05","2023-01-02","MOSTRADOR","60","TT1","16:45:16","45","TZ","278649"
"130,827","C","07","2023-01-02",,"0","TS","16:44:38","781","297.","278650"
"68,109","C","35","2023-01-02","MOSTRADOR","79","TPP","16:47:32","736","PAPA2","278651"
"567,210","C","05","2023-01-03","MOSTRADOR","137","TT1","13:09:30","640","TZ","278652"
"160,179","C","28","2023-01-03","MOSTRADOR","233","TCZ","13:07:10","507","COAT","278653"
"534,407","C","03","2023-01-03","MOSTRADOR","20","TME","13:04:16","14","ME","278654"
"62,928","Z","24","2023-01-03",,"0","TAS","13:03:49","693","MISAN","278655"
"534,255","C","03","2023-01-02","MOSTRADOR","15","TME","16:50:47","14","ME","278656"
"574,744","C","17","2023-01-02","MOSTRADOR","130","TMS","16:45:25","689","MISAN","278657"
"604,865","C","08","2023-01-02","MOSTRADOR","37","TT2","16:59:05","372","RP","278658"
"62,900","C","34","2023-01-02",,"0","TAS","17:13:54","67","MISAN","278659"
"26,409","C","24","2023-01-02","MOSTRADOR","31","TZM","16:46:04","638","TMZ","278660"
"33,978","C","25","2023-01-02","JOSE ARTURO ZAPATA GUIZAR","51","3PA","16:47:07","777","PAPAN","278661"
"201,519","C","29","2023-01-02","MOSTRADOR","76","TGZ","16:48:20","783","GZAMO","278662"
"17,813","C","07","2023-01-02","J CRUZ AGUIRRE RAMOS","31","3AV","16:48:47","753","AC","278663"
"574,745","C","17","2023-01-02","MOSTRADOR","42","TMS","16:53:04","161","MISAN","278664"
"100,069","C","31","2023-01-02","MOSTRADOR","26","TR2","16:46:30","319","VEPR2","278665"
"164,650","C","27","2023-01-02","MOSTRADOR","6","TT3","16:47:03","778","HIDAL","278666"
"635","C","14","2023-01-02","MOSTRADOR","5","3T4","16:51:36","784","TEZIU","278667"
"160,181","C","28","2023-01-03","JIMMY GOMEZ OLIVARES","107","TCZ","13:09:42","625","COAT","278668"
"201,618","C","29","2023-01-03","MOSTRADOR","1","TGZ","13:13:15","783","GZAMO","278669"
"412,812","C","36","2023-01-03","MOSTRADOR","31","TAF","13:04:36","700","ALFIN","278670"
"8,200","K","14","2023-01-03","MOSTRADOR","120","TT4","13:09:36","377","TEZIU","278671"
"394,741","C","06","2023-01-02","MOSTRADOR","106","TTP","16:47:45","308","TL","278672"
"62,928","C","17","2023-01-03",,"0","TAS","13:04:16","5","CEDIS","278673"
"343,384","C","04","2023-01-02","MOSTRADOR","109","TPL","16:51:52","94","PVERD","278674"
"130,854","C","20","2023-01-03","SUCURSAL POZA RICA 2","0","TS","13:04:55","587","PR","278675"
"201,520","C","29","2023-01-02","MOSTRADOR","107","TGZ","16:48:37","574","GZAMO","278676"
"567,023","C","05","2023-01-02","MOSTRADOR","51","TT1","16:47:56","640","TZ","278677"
"337,480","C","25","2023-01-02","MOSTRADOR","117","TPA","16:59:26","777","PAPAN","278678"
"68,111","C","35","2023-01-02","MOSTRADOR","23","TPP","16:53:10","736","PAPA2","278679"
"66,553","C","37","2023-01-02","SURCURSAL MELCHOR OCAMPO (MATRIZ)","5","TR","16:49:43","5","CEDIS","278680"
"394,742","C","06","2023-01-02","MOSTRADOR","119","TTP","16:48:35","774","TL","278681"
"567,024","C","05","2023-01-02","MOSTRADOR","24","TT1","16:48:40","640","TZ","278682"
"491,306","C","19","2023-01-02","MOSTRADOR","294","TID","16:50:10","511","INDE","278683"
"605,058","C","08","2023-01-03","MOSTRADOR","53","TT2","13:10:40","769","RP","278684"
"164,732","C","27","2023-01-03","MOSTRADOR","59","TT3","13:08:26","767","HIDAL","278685"
"26,546","C","24","2023-01-03","MOSTRADOR","111","TZM","13:07:07","288","TMZ","278686"
"27,869","W","26","2023-01-02","MOSTRADOR","1","TTI","16:49:20","675","TIHUA","278687"
"201,522","C","29","2023-01-02","MOSTRADOR","34","TGZ","16:51:59","574","GZAMO","278688"
"130,854","C","31","2023-01-03",,"0","TS","13:04:54","587","PR","278689"
"604,862","C","08","2023-01-02","MOSTRADOR","16","TT2","16:51:52","765","RP","278690"
"196,369","C","07","2023-01-02","MOSTRADOR","243","TAV","16:49:19","753","AC","278691"
"201,521","C","29","2023-01-02","MOSTRADOR","746","TGZ","16:49:31","520","GZAMO","278692"
"567,025","C","05","2023-01-02","MOSTRADOR","100","TT1","16:53:46","211","TZ","278693"
"394,743","C","06","2023-01-02","MOSTRADOR","44","TTP","17:01:43","18","TL","278694"
"27,870","C","26","2023-01-02","MOSTRADOR","68","TTI","16:49:48","675","TIHUA","278695"
"289,038","K","21","2023-01-03","MOSTRADOR","239","TTX","13:13:00","716","TX","278696"
"289,034","C","21","2023-01-03","MOSTRADOR","61","TTX","13:07:19","219","TX","278697"
"66,553","Z","24","2023-01-02",,"5","TR","16:49:43","5","CEDIS","278698"
"574,868","C","17","2023-01-03","MOSTRADOR","55","TMS","13:10:00","693","MISAN","278699"
"164,652","K","27","2023-01-02","MOSTRADOR","273","TT3","16:54:39","767","HIDAL","278700"
"289,035","C","21","2023-01-03","MOSTRADOR","254","TTX","13:08:22","725","TX","278701"
"27,871","C","26","2023-01-02","MOSTRADOR","376","TTI","17:12:22","675","TIHUA","278702"
"604,860","C","08","2023-01-02","MOSTRADOR","38","TT2","16:51:00","769","RP","278703"
"201,524","C","29","2023-01-02","MOSTRADOR","325","TGZ","16:58:34","574","GZAMO","278704"
"250,194","C","20","2023-01-03","MOSTRADOR","18","TPZ","13:29:54","714","PR","278705"
"491,308","C","19","2023-01-02","MOSTRADOR","301","TID","16:55:06","511","INDE","278706"
"288,946","C","21","2023-01-02","MOSTRADOR","24","TTX","16:52:31","397","TX","278707"
"343,482","C","04","2023-01-03","MOSTRADOR","13","TPL","13:06:40","782","PVERD","278708"
"574,746","C","17","2023-01-02","MOSTRADOR","59","TMS","16:55:26","689","MISAN","278709"
"534,256","C","03","2023-01-02","MOSTRADOR","58","TME","17:10:40","719","ME","278710"
"491,307","C","19","2023-01-02","MOSTRADOR","109","TID","16:53:19","218","INDE","278711"
"394,843","C","06","2023-01-03","MOSTRADOR","50","TTP","13:06:54","773","TL","278712"
"160,107","K","28","2023-01-02","MOSTRADOR","2","TCZ","16:52:32","507","COAT","278713"
"26,412","C","24","2023-01-02","MOSTRADOR","18","TZM","16:58:04","16","TMZ","278714"
"164,654","C","27","2023-01-02","MOSTRADOR","0","TT3","17:01:40","788","HIDAL","278715"
"604,866","C","08","2023-01-02","MOSTRADOR","124","TT2","17:04:01","372","RP","278716"
"3,627","K","24","2023-01-03","MOSTRADOR","12","3ZM","13:09:11","638","TMZ","278717"
"534,408","C","03","2023-01-03","MOSTRADOR","565","TME","13:08:47","14","ME","278718"
"605,056","C","08","2023-01-03","MOSTRADOR","17","TT2","13:07:43","423","RP","278719"
"32,223","O","12","2023-01-03","MOSTRADOR","0","TXA","13:22:13","698","XALAP","278720"
"343,385","C","04","2023-01-02","MOSTRADOR","19","TPL","16:52:51","782","PVERD","278721"
"196,411","C","07","2023-01-03","MOSTRADOR","116","TAV","13:08:02","753","AC","278722"
"201,615","C","29","2023-01-03","MOSTRADOR","196","TGZ","13:07:54","783","GZAMO","278723"
"288,947","C","21","2023-01-02","MOSTRADOR","4","TTX","16:52:55","725","TX","278724"
"8,147","C","14","2023-01-02","MOSTRADOR","8","TT4","17:03:24","784","TEZIU","278725"
"32,161","C","12","2023-01-02","MOSTRADOR","17","TXA","16:53:17","55","XALAP","278726"
"32,224","C","12","2023-01-03","MOSTRADOR","129","TXA","13:22:33","55","XALAP","278727"
"337,478","K","25","2023-01-02","MOSTRADOR","335","TPA","16:54:05","156","PAPAN","278728"
"3,628","C","24","2023-01-03","LAURO VICENTE VELAZQUEZ CRUZ","241","3ZM","13:14:53","710","TMZ","278729"
"160,180","C","28","2023-01-03","MOSTRADOR","134","TCZ","13:08:45","507","COAT","278730"
"68,112","C","35","2023-01-02","MOSTRADOR","18","TPP","16:53:41","736","PAPA2","278731"
"604,863","K","08","2023-01-02","MOSTRADOR","273","TT2","16:54:07","3","RP","278732"
"26,411","C","24","2023-01-02","MOSTRADOR","23","TZM","16:55:25","638","TMZ","278733"
"100,070","C","31","2023-01-02","MOSTRADOR","21","TR2","16:54:10","684","VEPR2","278734"
"201,523","C","29","2023-01-02","MOSTRADOR","66","TGZ","16:55:50","783","GZAMO","278735"
"567,027","C","05","2023-01-02","MOSTRADOR","72","TT1","16:54:32","211","TZ","278736"
"68,114","C","35","2023-01-02","MOSTRADOR","146","TPP","17:02:20","758","PAPA2","278737"
"604,864","C","08","2023-01-02","MOSTRADOR","269","TT2","16:59:02","769","RP","278738"
"394,844","C","06","2023-01-03","MOSTRADOR","41","TTP","13:08:15","337","TL","278739"
"491,309","C","19","2023-01-02","MOSTRADOR","32","TID","16:55:38","218","INDE","278740"
"394,744","C","06","2023-01-02","MOSTRADOR","226","TTP","16:57:38","18","TL","278741"
"412,813","C","36","2023-01-03","MOSTRADOR","18","TAF","13:19:01","700","ALFIN","278742"
"26,547","C","24","2023-01-03","MOSTRADOR","39","TZM","13:11:15","288","TMZ","278743"
"605,057","C","08","2023-01-03","MOSTRADOR","72","TT2","13:08:31","423","RP","278744"
"567,030","C","05","2023-01-02","MOSTRADOR","153","TT1","17:00:47","211","TZ","278745"
"201,616","C","29","2023-01-03","MOSTRADOR","17","TGZ","13:08:31","771","GZAMO","278746"
"337,629","C","25","2023-01-03","MOSTRADOR","30","TPA","13:11:15","456","PAPAN","278747"
"604,867","C","08","2023-01-02","MOSTRADOR","8","TT2","17:04:12","3","RP","278748"
"160,108","C","28","2023-01-02","MOSTRADOR","138","TCZ","16:57:49","322","COAT","278749"
"337,632","C","25","2023-01-03","MOSTRADOR","723","TPA","13:16:30","777","PAPAN","278750"
"491,451","C","19","2023-01-03","MOSTRADOR","186","TID","13:13:14","579","INDE","278751"
"39,800","C","04","2023-01-02","GIOVANY PEREZ FLORES","123","3PL","16:57:37","782","PVERD","278752"
"343,386","C","04","2023-01-02","MOSTRADOR","166","TPL","17:10:55","94","PVERD","278753"
"26,412","C","24","2023-01-02","MOSTRADOR","448","TZM","20:21:37","764","TMZ","278754"
"62,898","C","20","2023-01-02",,"0","TAS","16:56:46","296","PR","278755"
"337,479","C","25","2023-01-02","MOSTRADOR","115","TPA","16:57:25","156","PAPAN","278756"
"337,484","C","25","2023-01-02","MOSTRADOR","41","TPA","17:10:06","508","PAPAN","278757"
"27,886","C","26","2023-01-03","MOSTRADOR","224","TTI","13:34:15","166","TIHUA","278758"
"574,747","C","17","2023-01-02","MOSTRADOR","39","TMS","16:56:56","693","MISAN","278759"
"62,898","C","34","2023-01-02",,"0","TAS","16:56:46","296","PR","278760"
"32,163","C","12","2023-01-02","MOSTRADOR","35","TXA","16:57:50","55","XALAP","278761"
"164,653","C","27","2023-01-02","MOSTRADOR","25","TT3","16:59:45","778","HIDAL","278762"
"250,157","C","20","2023-01-02","MOSTRADOR","299","TPZ","17:15:07","676","PR","278763"
"196,370","C","07","2023-01-02","MOSTRADOR","57","TAV","16:58:57","753","AC","278764"
"288,948","C","21","2023-01-02","MOSTRADOR","160","TTX","16:58:08","219","TX","278765"
"491,310","C","19","2023-01-02","MOSTRADOR","73","TID","16:58:41","579","INDE","278766"
"8,201","C","14","2023-01-03","MOSTRADOR","14","TT4","13:10:40","766","TEZIU","278767"
"26,414","C","24","2023-01-02","MOSTRADOR","3","TZM","17:16:49","638","TMZ","278768"
"201,619","C","29","2023-01-03","MOSTRADOR","242","TGZ","13:13:32","520","GZAMO","278769"
"201,617","C","29","2023-01-03","MOSTRADOR","69","TGZ","13:10:02","771","GZAMO","278770"
"491,453","C","19","2023-01-03","MOSTRADOR","0","TID","13:24:06","511","INDE","278771"
"394,845","C","06","2023-01-03","MOSTRADOR","62","TTP","13:16:38","337","TL","278772"
"289,036","C","21","2023-01-03","MOSTRADOR","69","TTX","13:10:07","219","TX","278773"
"394,745","C","06","2023-01-02","MOSTRADOR","248","TTP","16:59:13","774","TL","278774"
"567,029","C","05","2023-01-02","MOSTRADOR","9","TT1","16:59:22","640","TZ","278775"
"491,311","C","19","2023-01-02","MOSTRADOR","77","TID","16:59:26","218","INDE","278776"
"32,165","C","12","2023-01-02","MOSTRADOR","64","TXA","17:47:49","698","XALAP","278777"
"574,867","C","17","2023-01-03","MOSTRADOR","32","TMS","13:09:47","161","MISAN","278778"
"567,028","C","05","2023-01-02","MOSTRADOR","7","TT1","16:58:57","519","TZ","278779"
"201,527","C","29","2023-01-02","MOSTRADOR","104","TGZ","17:03:15","524","GZAMO","278780"
"574,748","C","17","2023-01-02","MOSTRADOR","72","TMS","16:59:10","689","MISAN","278781"
"491,312","C","19","2023-01-02","MOSTRADOR","376","TID","17:00:13","579","INDE","278782"
"8,202","C","14","2023-01-03","MOSTRADOR","32","TT4","13:23:19","377","TEZIU","278783"
"26,418","C","24","2023-01-02","MOSTRADOR","26","TZM","17:33:00","16","TMZ","278784"
"8,148","C","14","2023-01-02","MOSTRADOR","255","TT4","17:07:09","766","TEZIU","278785"
"201,525","C","29","2023-01-02","MOSTRADOR","19","TGZ","17:00:09","574","GZAMO","278786"
"68,113","C","35","2023-01-02","MOSTRADOR","24","TPP","17:02:05","759","PAPA2","278787"
"250,155","C","20","2023-01-02","MOSTRADOR","34","TPZ","17:00:43","676","PR","278788"
"337,630","C","25","2023-01-03","MOSTRADOR","61","TPA","13:11:24","777","PAPAN","278789"
"605,059","C","08","2023-01-03","MOSTRADOR","170","TT2","13:11:16","423","RP","278790"
"196,412","C","07","2023-01-03","MOSTRADOR","170","TAV","13:10:36","589","AC","278791"
"196,415","C","07","2023-01-03",".","140","TAV","13:17:02","753","AC","278792"
"201,620","C","29","2023-01-03","MOSTRADOR","386","TGZ","13:15:16","771","GZAMO","278793"
"100,071","C","31","2023-01-02","MOSTRADOR","176","TR2","17:19:49","319","VEPR2","278794"
"491,313","C","19","2023-01-02","MOSTRADOR","228","TID","17:02:21","579","INDE","278795"
"100,072","C","31","2023-01-02","MOSTRADOR","75","TR2","17:41:57","684","VEPR2","278796"
"23,299","C","08","2023-01-02","MOSTRADOR","899","3T2","17:01:55","423","RP","278797"
"491,314","C","19","2023-01-02","MOSTRADOR","55","TID","17:03:52","511","INDE","278798"
"201,526","C","29","2023-01-02","MOSTRADOR","91","TGZ","17:01:44","574","GZAMO","278799"
"394,746","C","06","2023-01-02","MOSTRADOR","349","TTP","17:05:23","616","TL","278800"
"164,655","K","27","2023-01-02","MOSTRADOR","60","TT3","17:01:40","767","HIDAL","278801"
"337,481","C","25","2023-01-02","MOSTRADOR","876","TPA","17:02:50","508","PAPAN","278802"
"337,482","C","25","2023-01-02","MOSTRADOR","87","TPA","17:03:51","777","PAPAN","278803"
"250,156","C","20","2023-01-02","MOSTRADOR","69","TPZ","16:57:24","714","PR","278804"
"289,037","C","21","2023-01-03","MOSTRADOR","39","TTX","13:11:02","219","TX","278805"
"604,868","C","08","2023-01-02","MOSTRADOR","77","TT2","17:09:07","3","RP","278806"
"567,214","C","05","2023-01-03","MOSTRADOR","22","TT1","13:28:52","211","TZ","278807"
"250,156","C","20","2023-01-02","MOSTRADOR","60","TPZ","17:02:39","714","PR","278808"
"491,320","K","19","2023-01-02","MOSTRADOR","298","TID","17:09:57","579","INDE","278809"
"160,109","C","28","2023-01-02","MOSTRADOR","170","TCZ","17:03:31","507","COAT","278810"
"196,372","C","07","2023-01-02","MOSTRADOR","11","TAV","17:07:44","753","AC","278811"
"68,115","K","35","2023-01-02","MOSTRADOR","296","TPP","17:10:56","758","PAPA2","278812"
"68,116","C","35","2023-01-02","MOSTRADOR","53","TPP","17:18:03","759","PAPA2","278813"
"164,733","C","27","2023-01-03","MOSTRADOR","124","TT3","13:11:58","767","HIDAL","278814"
"196,413","C","07","2023-01-03","MOSTRADOR","15","TAV","13:12:35","589","AC","278815"
"337,631","C","25","2023-01-03","MOSTRADOR","46","TPA","13:11:58","508","PAPAN","278816"
"100,114","C","31","2023-01-03","SERVICIOS & SUMINISTROS BLESS","0","TR2","13:19:45","727","VEPR2","278817"
"68,187","C","35","2023-01-03","MOSTRADOR","70","TPP","13:12:55","758","PAPA2","278818"
"160,182","C","28","2023-01-03","MOSTRADOR","70","TCZ","13:15:50","625","COAT","278819"
"605,066","C","08","2023-01-03","MOSTRADOR","107","TT2","13:17:00","372","RP","278820"
"288,952","C","21","2023-01-02","MOSTRADOR","129","TTX","17:11:54","219","TX","278821"
"3,629","C","24","2023-01-03","PISOS AZULEJOS Y SANITARIOS DEL GOLFO","794","3ZM","13:16:41","288","TMZ","278822"
"288,949","C","21","2023-01-02","MOSTRADOR","17","TTX","16:59:34","397","TX","278823"
"26,413","C","24","2023-01-02","MOSTRADOR","105","TZM","17:04:12","764","TMZ","278824"
"574,749","C","17","2023-01-02","MOSTRADOR","8","TMS","17:04:13","693","MISAN","278825"
"491,315","C","19","2023-01-02","MOSTRADOR","68","TID","17:04:26","511","INDE","278826"
"534,409","C","03","2023-01-03","MOSTRADOR","62","TME","13:13:46","14","ME","278827"
"289,039","C","21","2023-01-03","MOSTRADOR","17","TTX","13:13:39","397","TX","278828"
"605,060","C","08","2023-01-03","MOSTRADOR","29","TT2","13:13:40","423","RP","278829"
"343,484","C","04","2023-01-03","MOSTRADOR","142","TPL","13:17:21","782","PVERD","278830"
"201,528","C","29","2023-01-02","MOSTRADOR","1","TGZ","17:17:27","574","GZAMO","278831"
"13,922","K","28","2023-01-02","SAUL PORFIRIO RETURETA AGUILAR","6","3CZ","17:06:28","625","COAT","278832"
"491,316","C","19","2023-01-02","MOSTRADOR","124","TID","17:07:35","511","INDE","278833"
"160,110","C","28","2023-01-02","MOSTRADOR","6","TCZ","17:06:04","507","COAT","278834"
"574,750","C","17","2023-01-02","MOSTRADOR","29","TMS","17:05:54","689","MISAN","278835"
"196,371","C","07","2023-01-02","MOSTRADOR","14","TAV","17:06:53","753","AC","278836"
"164,657","C","27","2023-01-02","MOSTRADOR","21","TT3","17:06:05","788","HIDAL","278837"
"288,949","C","21","2023-01-02","MOSTRADOR","8","TTX","17:07:13","96","TX","278838"
"574,871","C","17","2023-01-03","MOSTRADOR","65","TMS","13:16:55","161","MISAN","278839"
"574,751","C","17","2023-01-02","MOSTRADOR","13","TMS","17:06:04","693","MISAN","278840"
"567,031","C","05","2023-01-02","MOSTRADOR","42","TT1","17:06:21","519","TZ","278841"
"337,483","C","25","2023-01-02","MOSTRADOR","330","TPA","17:09:17","777","PAPAN","278842"
"534,410","C","03","2023-01-03","MOSTRADOR","29","TME","13:23:07","719","ME","278843"
"574,752","C","17","2023-01-02","MOSTRADOR","119","TMS","17:06:36","161","MISAN","278844"
"574,753","C","17","2023-01-02","MOSTRADOR","94","TMS","17:06:43","689","MISAN","278845"
"16,214","C","06","2023-01-03","MUNICIPIO DE TLAPACOYAN","317","3TP","13:14:53","308","TL","278846"
"534,258","C","03","2023-01-02","MOSTRADOR","22","TME","17:12:33","719","ME","278847"
"394,747","C","06","2023-01-02","MOSTRADOR","298","TTP","17:05:28","774","TL","278848"
"412,750","K","36","2023-01-02","MOSTRADOR","111","TAF","17:14:23","729","ALFIN","278849"
"164,659","K","27","2023-01-02","MOSTRADOR","91","TT3","17:08:54","788","HIDAL","278850"
